Oligo_ID	Symbol v12
hCT000588	GSN
hCT000589	EEF2
hCT000590	VIM
hCT000591	GSN
hCT000592	EEF2
hCT000593	VIM
hCT000594	CTSD
hCT000595	RPN2
hCT000596	POLR2A
hCT000597	RPN2
hCT000598	POLR2A
hCT000599	RPN2
hCT000600	POLR2A
hCT000601	ACTB
hCT000602	LRP1
hCT000603	SFTPA1
hCT000604	ACTB
hCT000605	LRP1
hCT000606	SFTPA1
hCT000607	ACTB
hCT000608	LRP1
hCT000609	TLN1
hCT000610	CTSD
hCT000611	RPN2
hCT000612	TLN1
hCT000613	CTSD
hCT000614	RPN2
hCT000615	TLN1
hCT000616	CTSD
hCT000617	RPN2
hCT000618	POLR2A
hCT000619	LRP1
hCT000620	GSN
hCT000621	LRP1
hCT000622	GSN
hCT000623	LRP1
hCT000624	GSN
hCT000625	POLR2A
hCT000626	GAPDH
hCT000627	SFTPA1
hCT000628	POLR2A
hCT000629	GAPDH
hCT000630	SFTPA1
hCT000631	POLR2A
hCT000632	GAPDH
hCT000633	SFTPA1
hCT000634	ACTB
hCT000635	LRP1
hCT000636	SFTPA1
hCT000637	ACTB
hCT000638	LRP1
hCT000639	SFTPA1
hCT000640	ACTB
hCT000641	LRP1
hCT000642	GSN
hCT000643	GAPDH
hCT000644	TLN1
hCT000645	EEF2
hCT000646	TLN1
hCT000647	EEF2
hCT000648	TLN1
hCT000649	GSN
hCT000650	EEF2
hCT000651	VIM
hCT000652	GSN
hCT000653	EEF2
hCT000654	VIM
hCT000655	GSN
hCT000656	EEF2
hCT000657	SFTPA1
hCT000658	POLR2A
hCT000659	GAPDH
hCT000660	SFTPA1
hCT000661	POLR2A
hCT000662	GAPDH
hCT000663	SFTPA1
hCT000664	POLR2A
hCT000665	GAPDH
hCT000666	TLN1
hCT000667	EEF2
hCT000668	VIM
hCT000669	CTSD
hCT000670	VIM
hCT000671	CTSD
hCT000672	VIM
hCT000673	TLN1
hCT000674	LRP1
hCT000675	POLR2A
hCT000676	TLN1
hCT000677	LRP1
hCT000678	POLR2A
hCT000679	TLN1
hCT000680	LRP1
hCT000681	POLR2A
hCT000682	GSN
hCT000683	TLN1
hCT000684	TLN1
hCT000685	POLR2A
hCT000686	LRP1
hCT000687	TLN1
hCT000688	POLR2A
hCT000689	LRP1
hCT000690	TLN1
hCT000691	POLR2A
hCT000692	LRP1
hCT000693	LRP1
hCT000694	LRP1
hCT000695	LRP1
hCT000696	LRP1
hCT000697	RPN2
hCT000698	EEF2
hCT000699	GSN
hCT000700	RPN2
hCT000701	EEF2
hCT000702	GSN
hCT000703	RPN2
hCT000704	EEF2
hCT000705	GSN
hCT000706	TLN1
hCT000707	RPN2
hCT000708	LRP1
hCT000709	TLN1
hCT000710	POLR2A
hCT000711	LRP1
hCT000712	TLN1
hCT000713	POLR2A
hCT000714	LRP1
hCT000715	TLN1
hCT000716	POLR2A
hCT000717	TLN1
hCT000718	TLN1
hCT000719	TLN1
hCT000720	TLN1
hCT000721	LRP1
hCT000722	POLR2A
hCT000723	TLN1
hCT000724	LRP1
hCT000725	POLR2A
hCT000726	TLN1
hCT000727	LRP1
hCT000728	POLR2A
hCT000729	TLN1
hCT000730	RPN2
hCT000731	LRP1
hCT000732	POLR2A
hCT000733	LRP1
hCT000734	TLN1
hCT000735	POLR2A
hCT000736	LRP1
hCT000737	TLN1
hCT000738	POLR2A
hCT000739	LRP1
hCT000740	TLN1
hCT000741	LRP1
hCT000742	LRP1
hCT000743	LRP1
hCT000744	LRP1
hCT000745	EEF2
hCT000746	GSN
hCT000747	RPN2
hCT000748	EEF2
hCT000749	GSN
hCT000750	RPN2
hCT000751	EEF2
hCT000752	GSN
hCT000753	RPN2
hCT000754	LRP1
hCT000755	POLR2A
hCT000756	GSN
hCT000757	POLR2A
hCT000758	LRP1
hCT000759	TLN1
hCT000760	POLR2A
hCT000761	LRP1
hCT000762	TLN1
hCT000763	POLR2A
hCT000764	LRP1
hCT000765	TLN1
hCT000766	TLN1
hCT000767	TLN1
hCT000768	TLN1
hCT000769	LRP1
hCT000770	LRP1
hCT000771	LRP1
hCT000772	LRP1
hCT000773	LRP1
hCT000774	LRP1
hCT000775	LRP1
hCT000776	LRP1
hCT000777	LRP1
hCT000778	LRP1
hCT000779	LRP1
hCT000780	LRP1
hCT000781	LRP1
hCT000782	LRP1
hCT000783	LRP1
hCT000784	LRP1
hCT000785	LRP1
hCT000786	LRP1
hCM000787	HPRT1
hCM000788	B2M
hCM000789	TBP
hCM000790	HPRT1
hCM000791	HPRT1
hCM000792	HPRT1
hCT000793	TLN1
hCT000794	TLN1
hCT000795	TLN1
hCT000796	TLN1
hCT000797	TLN1
hCT000798	TLN1
hCT000799	TLN1
hCT000800	TLN1
hCT000801	TLN1
hCT000802	TLN1
hCT000803	LRP1
hCT000804	LRP1
hCT000805	LRP1
hCT000806	LRP1
hCT000807	LRP1
hCT000808	LRP1
hCT000809	LRP1
hCT000810	LRP1
hCM000811	B2M
hCM000812	TBP
hCM000813	HMBS
hCM000814	SDHA
hCM000815	HPRT1
hCM000816	HPRT1
hCT000817	LRP1
hCT000818	LRP1
hCT000819	LRP1
hCT000820	LRP1
hCT000821	LRP1
hCT000822	LRP1
hCT000823	LRP1
hCT000824	LRP1
hCT000825	LRP1
hCT000826	LRP1
hCT000827	LRP1
hCT000828	LRP1
hCT000829	LRP1
hCT000830	LRP1
hCT000831	LRP1
hCT000832	LRP1
hCT000833	LRP1
hCT000834	LRP1
hCM000835	TBP
hCM000836	HMBS
hCM000837	SDHA
hCM000838	HPRT1
hCM000839	HPRT1
hCM000840	HPRT1
hCT000841	TLN1
hCT000842	TLN1
hCT000843	TLN1
hCT000844	TLN1
hCT000845	TLN1
hCT000846	TLN1
hCT000847	TLN1
hCT000848	TLN1
hCT000849	TLN1
hCT000850	TLN1
hCT000851	LRP1
hCT000852	LRP1
hCT000853	LRP1
hCT000854	LRP1
hCT000855	LRP1
hCT000856	LRP1
hCT000857	LRP1
hCT000858	LRP1
hCM000859	HMBS
hCM000860	SDHA
hCM000861	HPRT1
hCM000862	B2M
hCM000863	HPRT1
hCM000864	HPRT1
hCM000865	HPRT1
hCM000866	HPRT1
hCM000867	HPRT1
hCM000868	HPRT1
hCM000869	TBP
hCM000870	TBP
hCM000871	TBP
hCM000872	TBP
hCM000873	TBP
hCM000874	TBP
hCM000875	TBP
hCM000876	HMBS
hCM000877	HMBS
hCM000878	HMBS
hCM000879	HMBS
hCM000880	HMBS
hCM000881	HMBS
hCM000882	HMBS
hCM000883	SDHA
hCM000884	SDHA
hCM000885	SDHA
hCM000886	SDHA
hCM000887	SDHA
hCM000888	SDHA
hCM000889	HPRT1
hCM000890	HPRT1
hCM000891	HPRT1
hCM000892	HPRT1
hCM000893	TBP
hCM000894	TBP
hCM000895	TBP
hCM000896	TBP
hCM000897	TBP
hCM000898	TBP
hCM000899	TBP
hCM000900	HMBS
hCM000901	HMBS
hCM000902	HMBS
hCM000903	HMBS
hCM000904	HMBS
hCM000905	HMBS
hCM000906	HMBS
hCM000907	SDHA
hCM000908	SDHA
hCM000909	SDHA
hCM000910	SDHA
hCM000911	SDHA
hCM000912	SDHA
hCM000913	HPRT1
hCM000914	HPRT1
hCM000915	HPRT1
hCM000916	HPRT1
hCM000917	HPRT1
hCM000918	TBP
hCM000919	TBP
hCM000920	TBP
hCM000921	TBP
hCM000922	TBP
hCM000923	TBP
hCM000924	HMBS
hCM000925	HMBS
hCM000926	HMBS
hCM000927	HMBS
hCM000928	HMBS
hCM000929	HMBS
hCM000930	HMBS
hCM000931	SDHA
hCM000932	SDHA
hCM000933	SDHA
hCM000934	SDHA
hCM000935	SDHA
hCM000936	SDHA
hCM000937	HPRT1
hCM000938	HPRT1
hCM000939	HPRT1
hCM000940	HPRT1
hCM000941	HPRT1
hCM000942	TBP
hCM000943	TBP
hCM000944	TBP
hCM000945	TBP
hCM000946	TBP
hCM000947	TBP
hCM000948	TBP
hCM000949	HMBS
hCM000950	HMBS
hCM000951	HMBS
hCM000952	HMBS
hCM000953	HMBS
hCM000954	HMBS
hCM000955	SDHA
hCM000956	SDHA
hCM000957	SDHA
hCM000958	SDHA
hCM000959	SDHA
hCM000960	SDHA
hCM000961	B2M
hCM000962	B2M
hCM000963	B2M
hCM000964	B2M
hCM000965	B2M
hCM000966	B2M
hCM000967	B2M
hCM000968	HPRT1
hCM000969	HPRT1
hCM000970	HPRT1
hCM000971	HPRT1
hCM000972	HPRT1
hCM000973	HPRT1
hCM000974	TBP
