Probe_ID	Gene_Symbol
Hs.12851_at	PTDSS2
Hs.128548_at	WDR1
Hs.128574_at	CCER1
Hs.128576_at	TTC39C
Hs.128580_at	FMR1NB
Hs.1285_at	C8G
Hs.12865_at	NSFL1C
Hs.128668_at	LOC101929172
Hs.128676_at	SPRYD4
Hs.128702_at	FBXO46
Hs.128738_at	AIM1L
Hs.128753_at	ROR1
Hs.128770_at	LOC101928728
Hs.128791_at	TRMT6
Hs.128803_at	NMRAL1P1
Hs.128813_at	CRHR1-IT1
Hs.128814_at	CHIA
Hs.128836_at	PIH1D3
Hs.128841_at	UBE2W
Hs.128856_at	SCARA3
Hs.128866_at	ATP13A2
Hs.1288_at	ACTA1
Hs.128959_at	PCF11
Hs.129055_at	ODF2
Hs.12907_at	CYP2E1
Hs.129095_at	NAF1
Hs.129142_at	DNASE2B
Hs.129195_at	FAM53B
Hs.129206_at	CSNK1G3
Hs.129227_at	MIOX
Hs.129268_at	ZNF319
Hs.129278_at	LOC729291
Hs.129280_at	LOC101927768
Hs.129293_at	FAM71A
Hs.12929_at	C17orf80
Hs.129312_at	C17orf64
Hs.129435_at	EPHA10
Hs.129448_at	UBOX5-AS1
Hs.129452_at	DACH1
Hs.1294_at	CACNA1S
Hs.129563_at	BORCS6
Hs.12956_at	TAX1BP3
Hs.129598_at	FSIP1
