Probe_ID	Gene_Symbol
merck2-AF061749_at	DNAJA3
merck2-AF061958_at	PPP1R8
merck2-AF063594_at	ING4
merck2-AF063608_at	KIF5A
merck2-AF063822_at	TRPC4
merck2-AF064849_at	TUBB4B
merck2-AF064849_x_at	TUBB4B
merck2-AF069765_a_at	SRP72
merck2-AF070527_at	TLN2
merck2-AF070544_at	SLC2A1
merck2-AF070622_at	ZMIZ1
merck2-AF070630_at	NADK
merck2-AF070634_at	AZIN1
merck2-AF073920_at	RGS6
merck2-AF073958_at	SOCS5
merck2-AF074000_at	LGALS8
merck2-AF075020_a_at	ANKRD50
merck2-AF077053_at	TAF9B
merck2-AF077200_at	POMP
merck2-AF077298_at	PRSS12
merck2-AF078856_at	NSFL1C
merck2-AF078866_a_at	SURF4
merck2-AF080158_at	IKBKB
merck2-AF080216_at	BCL11A
merck2-AF080255_at	TTF2
merck2-AF080470_at	BLOC1S6
merck2-AF080569_at	DNAJB6
merck2-AF081258_at	CDYL
merck2-AF081496_at	BUB3
merck2-AF082283_at	BCL10
merck2-AF083033_at	PRKRA
merck2-AF083068_at	PARP3
merck2-AF083190_at	DNAJC8
merck2-AF084521_at	ARFGEF2
merck2-AF085356_at	SNRNP200
merck2-AF085412_at	SLC6A5
merck2-AF086016_at	NRP1
merck2-AF086065_at	KIAA0319
merck2-AF086141_at	BCL2L11
merck2-AF086192_at	GPX8
merck2-AF086348_at	NAV1
merck2-AF086381_at	NFIA
merck2-AF086385_at	GABRE
merck2-AF086462_at	FAM213A
merck2-AF086500_at	FZD8
merck2-AF086515_at	SRSF11
merck2-AF086914_a_at	SRPRB
merck2-AF087856_at	NCOR1
merck2-AF087862_at	RHOJ
merck2-AF087891_at	BID
merck2-AF087907_a_at	SSR3
merck2-AF088030_at	DLGAP4
merck2-AF088037_at	ARHGEF19
merck2-AF088053_at	EARS2
merck2-AF088059_a_at	E2F6
merck2-AF090693_at	CELF2
merck2-AF091076_a_at	SNU13
merck2-AF091091_at	PGLS
merck2-AF092132_at	PAK2
merck2-AF092135_at	EID1
merck2-AF092563_at	SMC2
merck2-AF097025_at	NFS1
merck2-AF097518_at	SLC22A7
merck2-AF097709_at	HTRA1
merck2-AF098158_at	TPX2
merck2-AF100751_at	FKBP7
merck2-AF100752_at	VCP
merck2-AF102177_at	VPS54
merck2-AF102694_at	GRAP2
merck2-AF103799_at	DFFA
merck2-AF104243_at	MSH4
merck2-AF106862_at	ZHX1
merck2-AF108830_at	DYRK1A
merck2-AF109196_at	CLIC4
merck2-AF109683_a_at	LAIR1
merck2-AF110642_at	HDGFL3
merck2-AF110775_at	CWC15
merck2-AF113127_at	TMBIM4
merck2-AF113222_at	ATP6V1H
merck2-AF115266_at	OPRL1
merck2-AF116608_at	YOD1
merck2-AF116639_at	ATP5MPL
merck2-AF118887_at	VAV3
merck2-AF119836_at	RAB6A
merck2-AF119840_at	ALB
merck2-AF122827_a_at	NF2
merck2-AF122827_at	NF2
merck2-AF123759_a_at	CLN8
merck2-AF123761_at	CLN8
merck2-AF124434_at	DCAF6
merck2-AF125099_at	ZNF706
merck2-AF126404_at	CUL2
merck2-AF128536_at	PACSIN2
merck2-AF129512_at	IKZF3
merck2-AF130470_at	SERPINI2
merck2-AF131740_a_at	KCMF1
merck2-AF131744_at	FAM135B
merck2-AF131755_at	LARP4
merck2-AF131763_at	ZXDC
merck2-AF131776_at	CAMK2B
merck2-AF131787_at	LINC01007
merck2-AF133425_at	TSPAN1
merck2-AF134412_at	ABO
merck2-AF135160_at	MRPL42
merck2-AF135593_at	VPS41
merck2-AF136975_at	SERP1
merck2-AF137334_at	ADAM28
merck2-AF139077_at	TIMMDC1
merck2-AF139625_at	CENPJ
merck2-AF139625_s_at	CENPJ
merck2-AF140501_at	POLI
merck2-AF141201_at	UFD1
merck2-AF141307_a_at	HTRA2
merck2-AF141870_at	ILF3
merck2-AF146192_at	MRPS30
merck2-AF146277_at	CD2AP
merck2-AF146747_a_at	CD177
merck2-AF147306_at	TMEM68
merck2-AF147421_at	ARHGAP5-AS1
merck2-AF150733_at	TOMM7
merck2-AF151057_at	AASDHPPT
merck2-AF151061_at	PDZD11
merck2-AF151062_a_at	VTA1
merck2-AF151072_at	RNF181
merck2-AF151858_at	TMED5
merck2-AF155101_at	ZNF202
merck2-AF157324_a_at	RER1
merck2-AF161409_at	INIP
merck2-AF161459_at	SPOUT1
merck2-AF161495_at	ASF1A
merck2-AF161497_at	CWC15
merck2-AF161502_a_at	UBE2J1
merck2-AF161505_at	STXBP6
merck2-AF161522_at	CLDND1
merck2-AF161536_at	UQCR10
merck2-AF165531_at	GGA2
merck2-AF166492_at	RAB6B
merck2-AF167994_at	RPA1
merck2-AF170583_at	EHF
merck2-AF171063_at	DDX20
merck2-AF171877_at	CPSF3
merck2-AF172818_at	EIF2A
merck2-AF173378_at	MRTO4
merck2-AF173867_at	GMEB2
merck2-AF173901_a_at	HEY2
merck2-AF173937_a_at	NENF
merck2-AF173937_at	NENF
merck2-AF174049_at	SKAP2
merck2-AF175409_at	AJAP1
merck2-AF176008_at	MTCH2
merck2-AF177171_at	TMOD3
merck2-AF177292_at	CMYA5
merck2-AF177862_a_at	JPT1
merck2-AF180476_at	CNOT8
merck2-AF180919_at	DBR1
merck2-AF182038_at	HBP1
merck2-AF182292_at	LSM6
merck2-AF189011_at	DROSHA
merck2-AF191655_a_at	NUDT4
merck2-AF194971_at	LINC00476
merck2-AF197569_at	PBRM1
merck2-AF197898_at	NLK
merck2-AF199598_at	KCNIP2
merck2-AF200193_at	BACE1
merck2-AF201290_at	TSC22D2
merck2-AF201937_at	OSTC
merck2-AF201937_x_at	OSTC
merck2-AF201949_at	RSL24D1
merck2-AF202890_at	APOA5
merck2-AF205718_at	PINX1
merck2-AF208110_at	IL17RB
merck2-AF208849_at	MRPL35
merck2-AF212240_at	MS4A6A
merck2-AF212829_at	KCNK9
merck2-AF214561_at	KCNMB3
merck2-AF216648_at	LRBA
merck2-AF217743_at	PCDHB18P
merck2-AF217745_at	PCDHB13
merck2-AF217757_at	PCDHB16
merck2-AF217978_at	STK11
merck2-AF217996_at	HSPBP1
merck2-AF219994_at	AMBN
merck2-AF220190_at	ACTR10
merck2-AF220492_at	ZNF267
merck2-AF221098_at	RALGPS1
merck2-AF222747_at	RANBP17
merck2-AF223357_at	CSNK1G1
merck2-AF224468_a_at	ASPH
merck2-AF224741_at	CLCN7
merck2-AF225416_at	SPC25
merck2-AF229181_at	WSB2
merck2-AF229796_at	GOSR2
merck2-AF229832_at	CHMP5
merck2-AF229832_x_at	CHMP5
merck2-AF232930_at	COL4A3BP
merck2-AF237771_at	PARVA
merck2-AF239923_at	RHOF
merck2-AF246998_at	TNFRSF19
merck2-AF250309_a_at	IL17RB
merck2-AF250731_at	SDCCAG8
merck2-AF251055_at	FBXO38
merck2-AF251061_at	NCALD
merck2-AF255443_at	CRNKL1
merck2-AF255565_at	SP100
merck2-AF255649_a_at	NSD3
merck2-AF257473_at	BHMT2
merck2-AF257659_a_at	CALU
merck2-AF257659_at	CALU
merck2-AF257737_at	DNAH9
merck2-AF261092_a_at	ABCF2
merck2-AF261717_x_at	SAR1A
merck2-AF261943_a_at	NOX4
merck2-AF262405_at	CASK
merck2-AF263744_at	ERBIN
merck2-AF265442_at	CBWD5
merck2-AF268385_at	KLHDC10
merck2-AF269133_a_at	IL21R
merck2-AF274957_at	RAB18
merck2-AF275269_at	NANOS1
merck2-AF275803_at	CACYBP
merck2-AF275803_x_at	CACYBP
merck2-AF277174_at	EGLN1
merck2-AF277180_a_at	MRPS10
merck2-AF279611_at	CYSLTR2
merck2-AF281287_a_at	PECAM1
merck2-AF282245_at	APP
merck2-AF282885_at	HPSE2
merck2-AF284436_at	IL1RAPL2
merck2-AF285758_a_at	KARS
merck2-AF287261_a_at	KMT5A
merck2-AF288288_at	MRS2
merck2-AF289556_a_at	B4GALT5
merck2-AF289584_at	NKD1
merck2-AF289590_at	LOC100130744
merck2-AF292100_at	DCUN1D1
merck2-AF296658_at	UBE2J2
merck2-AF297090_at	DSC3
merck2-AF297660_at	RAB10
merck2-AF303887_at	PARVB
merck2-AF305686_at	C17orf75
merck2-AF305817_at	STX16
merck2-AF308803_at	VPS33B
merck2-AF309653_at	MS4A7
merck2-AF311338_a_at	TMEM107
merck2-AF312211_at	PAPOLG
